時間,設備,值
2024-10-19 15:02:35,SA-35/TEMPERATURE,32.66
2024-10-19 15:02:37,SA-35/TEMPERATURE,33.13
2024-10-19 15:02:43,SA-35/TEMPERATURE,32.66
2024-10-19 15:02:45,SA-35/TEMPERATURE,33.13
2024-10-19 15:02:47,SA-35/TEMPERATURE,33.6
2024-10-19 15:02:51,SA-35/TEMPERATURE,33.13
2024-10-19 15:02:53,SA-35/TEMPERATURE,32.66
2024-10-19 15:02:57,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:01,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:03,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:07,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:09,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:11,SA-35/TEMPERATURE,33.6
2024-10-19 15:03:13,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:15,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:18,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:21,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:25,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:29,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:33,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:35,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:38,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:41,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:43,SA-35/TEMPERATURE,33.6
2024-10-19 15:03:45,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:49,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:52,SA-35/TEMPERATURE,33.13
2024-10-19 15:03:57,SA-35/TEMPERATURE,32.66
2024-10-19 15:03:59,SA-35/TEMPERATURE,33.13
2024-10-19 15:04:01,SA-35/TEMPERATURE,32.66
2024-10-19 15:04:03,SA-35/TEMPERATURE,33.13
2024-10-19 15:04:05,SA-35/TEMPERATURE,32.66
2024-10-19 15:04:13,SA-35/TEMPERATURE,33.13
2024-10-19 15:04:19,SA-35/TEMPERATURE,32.66
2024-10-19 15:04:21,SA-35/TEMPERATURE,33.13
2024-10-19 15:04:29,SA-35/TEMPERATURE,32.66
2024-10-19 15:04:31,SA-35/TEMPERATURE,33.13
2024-10-19 15:04:38,SA-35/TEMPERATURE,32.66
2024-10-19 15:04:41,SA-35/TEMPERATURE,33.13
2024-10-19 15:04:43,SA-35/TEMPERATURE,32.66
2024-10-19 15:04:47,SA-35/TEMPERATURE,33.13
2024-10-19 15:04:57,SA-35/TEMPERATURE,32.66
2024-10-19 15:05:01,SA-35/TEMPERATURE,33.13
2024-10-19 15:05:03,SA-35/TEMPERATURE,33.6
2024-10-19 15:05:05,SA-35/TEMPERATURE,32.66
2024-10-19 15:05:07,SA-35/TEMPERATURE,33.13
2024-10-19 15:05:09,SA-35/TEMPERATURE,32.66
2024-10-19 15:05:17,SA-35/TEMPERATURE,33.13
2024-10-19 15:05:27,SA-35/TEMPERATURE,32.66
2024-10-19 15:05:33,SA-35/TEMPERATURE,33.13
2024-10-19 15:05:37,SA-35/TEMPERATURE,32.66
2024-10-19 15:05:43,SA-35/TEMPERATURE,33.13
2024-10-19 15:05:47,SA-35/TEMPERATURE,32.66
2024-10-19 15:05:55,SA-35/TEMPERATURE,33.13
2024-10-19 15:05:59,SA-35/TEMPERATURE,33.6
2024-10-19 15:06:01,SA-35/TEMPERATURE,33.13
2024-10-19 15:06:07,SA-35/TEMPERATURE,32.66
2024-10-19 15:06:09,SA-35/TEMPERATURE,33.13
2024-10-19 15:06:19,SA-35/TEMPERATURE,33.6
2024-10-19 15:06:21,SA-35/TEMPERATURE,33.13
2024-10-19 15:06:23,SA-35/TEMPERATURE,32.66
2024-10-19 15:06:35,SA-35/TEMPERATURE,33.13
2024-10-19 15:06:41,SA-35/TEMPERATURE,32.66
2024-10-19 15:06:43,SA-35/TEMPERATURE,33.13
2024-10-19 15:06:47,SA-35/TEMPERATURE,33.6
2024-10-19 15:06:49,SA-35/TEMPERATURE,33.13
2024-10-19 15:06:51,SA-35/TEMPERATURE,32.66
2024-10-19 15:06:53,SA-35/TEMPERATURE,33.13
2024-10-19 15:06:55,SA-35/TEMPERATURE,32.66
2024-10-19 15:06:57,SA-35/TEMPERATURE,33.13
2024-10-19 15:07:07,SA-35/TEMPERATURE,32.66
2024-10-19 15:07:11,SA-35/TEMPERATURE,33.13
2024-10-19 15:07:23,SA-35/TEMPERATURE,32.66
2024-10-19 15:07:29,SA-35/TEMPERATURE,33.13
2024-10-19 15:07:31,SA-35/TEMPERATURE,32.66
2024-10-19 15:07:33,SA-35/TEMPERATURE,33.13
2024-10-19 15:07:35,SA-35/TEMPERATURE,32.66
2024-10-19 15:07:39,SA-35/TEMPERATURE,33.13
2024-10-19 15:07:41,SA-35/TEMPERATURE,32.66
2024-10-19 15:07:45,SA-35/TEMPERATURE,33.13
2024-10-19 15:07:47,SA-35/TEMPERATURE,32.66
2024-10-19 15:07:51,SA-35/TEMPERATURE,33.13
2024-10-19 15:07:55,SA-35/TEMPERATURE,32.66
2024-10-19 15:07:57,SA-35/TEMPERATURE,33.13
2024-10-19 15:07:59,SA-35/TEMPERATURE,32.66
2024-10-19 15:08:01,SA-35/TEMPERATURE,33.13
2024-10-19 15:08:03,SA-35/TEMPERATURE,33.6
2024-10-19 15:08:05,SA-35/TEMPERATURE,33.13
2024-10-19 15:08:09,SA-35/TEMPERATURE,33.6
2024-10-19 15:08:11,SA-35/TEMPERATURE,33.13
2024-10-19 15:08:17,SA-35/TEMPERATURE,32.66
2024-10-19 15:08:25,SA-35/TEMPERATURE,33.13
2024-10-19 15:08:27,SA-35/TEMPERATURE,32.66
2024-10-19 15:08:39,SA-35/TEMPERATURE,33.13
2024-10-19 15:08:41,SA-35/TEMPERATURE,33.6
2024-10-19 15:08:43,SA-35/TEMPERATURE,33.13
2024-10-19 15:08:49,SA-35/TEMPERATURE,32.66
2024-10-19 15:08:53,SA-35/TEMPERATURE,33.6
2024-10-19 15:08:55,SA-35/TEMPERATURE,32.66
2024-10-19 15:08:56,SA-35/TEMPERATURE,33.13
2024-10-19 15:09:07,SA-35/TEMPERATURE,32.66
2024-10-19 15:09:09,SA-35/TEMPERATURE,33.13
2024-10-19 15:09:19,SA-35/TEMPERATURE,33.6
2024-10-19 15:09:21,SA-35/TEMPERATURE,33.13
2024-10-19 15:09:31,SA-35/TEMPERATURE,32.66
2024-10-19 15:09:35,SA-35/TEMPERATURE,33.13
2024-10-19 15:09:37,SA-35/TEMPERATURE,32.66
2024-10-19 15:09:39,SA-35/TEMPERATURE,33.13
2024-10-19 15:09:42,SA-35/TEMPERATURE,32.66
2024-10-19 15:09:47,SA-35/TEMPERATURE,33.13
2024-10-19 15:09:49,SA-35/TEMPERATURE,32.66
2024-10-19 15:09:55,SA-35/TEMPERATURE,32.19
2024-10-19 15:09:56,SA-35/TEMPERATURE,32.66
2024-10-19 15:11:09,SA-35/TEMPERATURE,32.19
2024-10-19 15:11:11,SA-35/TEMPERATURE,32.66
2024-10-19 15:11:23,SA-35/TEMPERATURE,32.19
2024-10-19 15:11:25,SA-35/TEMPERATURE,32.66
